学科类,批次,专业,标签,判定依据,配对数_24_25,超额漂移_24_25,阈值_24_25,显著_24_25,同向率_24_25,配对数_25_26,超额漂移_25_26,阈值_25_26,显著_25_26,同向率_25_26,两段合计超额漂移,原始位次口径_24_25,原始位次口径_25_26,单元数_2024,单元数_2025,单元数_2026,供给变动_24_26,层次分化_25_26
历史学科类,本科批,历史学,持续降温,两段同向且均超置换阈值，单元同向率达标,21,+0.0613,0.0428,是,0.86,54,+0.0682,0.0339,是,0.80,+0.1294,+0.0931,+0.0910,71,63,71,+0,211:8个/+12.3% 985:4个/-3.7% 双一流:2个/+10.4% 普通公办:39个/+6.4% 民办:1个/-11.1%
历史学科类,本科批,汉语言文学,持续降温,两段同向且均超置换阈值，单元同向率达标,109,+0.0571,0.0177,是,0.83,169,+0.0510,0.0189,是,0.65,+0.1081,+0.0890,+0.0738,197,197,216,+19,211:12个/+15.7% 985:15个/+10.8% 双一流:3个/-0.1% 普通公办:101个/+7.7% 民办:38个/-2.4%
历史学科类,本科批,汉语国际教育,持续降温,两段同向且均超置换阈值，单元同向率达标,53,+0.0363,0.0256,是,0.66,55,+0.0510,0.0336,是,0.71,+0.0873,+0.0682,+0.0738,82,74,63,-19,211:8个/+7.0% 985:5个/+6.0% 普通公办:34个/+5.8% 民办:8个/-4.2%
物理学科类,专科批,口腔医学,持续降温,两段同向且均超置换阈值，单元同向率达标,25,+0.0636,0.0189,是,0.96,28,+0.0420,0.0178,是,0.93,+0.1055,+0.0376,+0.0472,26,29,29,+3,普通公办:21个/+4.3% 民办:7个/+2.9%
物理学科类,专科批,小学教育,持续降温,两段同向且均超置换阈值，单元同向率达标,5,+0.0506,0.0415,是,1.00,10,+0.0490,0.0291,是,0.80,+0.0996,+0.0247,+0.0542,22,18,14,-8,普通公办:10个/+4.9%
物理学科类,本科批,儿科学,持续降温,两段同向且均超置换阈值，单元同向率达标,11,+0.1339,0.0493,是,0.82,11,+0.3294,0.0519,是,0.82,+0.4633,+0.1563,+0.3471,11,12,11,+0,普通公办:11个/+32.9%
物理学科类,本科批,临床医学,持续降温,两段同向且均超置换阈值，单元同向率达标,126,+0.1340,0.0137,是,0.88,133,+0.2157,0.0137,是,0.92,+0.3497,+0.1564,+0.2335,152,151,156,+4,211:16个/+19.8% 985:16个/+24.2% 双一流:1个/+23.0% 普通公办:89个/+21.6% 民办:11个/+20.8%
物理学科类,本科批,精算学,持续降温,两段同向且均超置换阈值，单元同向率达标,6,+0.1958,0.0698,是,1.00,7,+0.1201,0.0697,是,0.86,+0.3159,+0.2182,+0.1379,7,8,8,+1,211:3个/+25.1% 985:1个/+25.9% 普通公办:3个/+9.0%
物理学科类,本科批,口腔医学,持续降温,两段同向且均超置换阈值，单元同向率达标,40,+0.1448,0.0245,是,0.88,44,+0.1514,0.0248,是,0.93,+0.2962,+0.1672,+0.1691,46,46,49,+3,211:1个/+38.4% 985:9个/+21.7% 普通公办:27个/+15.7% 民办:7个/+8.1%
物理学科类,本科批,医学影像学,持续降温,两段同向且均超置换阈值，单元同向率达标,23,+0.0629,0.0328,是,0.96,24,+0.1678,0.0347,是,0.96,+0.2307,+0.0853,+0.1856,28,25,24,-4,211:1个/-8.5% 普通公办:20个/+16.9% 民办:3个/+15.2%
物理学科类,本科批,麻醉学,持续降温,两段同向且均超置换阈值，单元同向率达标,19,+0.0758,0.0360,是,0.74,21,+0.1343,0.0371,是,0.90,+0.2101,+0.0982,+0.1520,22,22,22,+0,211:1个/+2.6% 普通公办:18个/+15.2% 民办:2个/+13.1%
物理学科类,本科批,中西医临床医学,持续降温,两段同向且均超置换阈值，单元同向率达标,23,+0.0529,0.0328,是,0.91,23,+0.1554,0.0355,是,1.00,+0.2083,+0.0753,+0.1732,25,24,25,+0,211:1个/+17.0% 普通公办:19个/+15.5% 民办:3个/+15.7%
物理学科类,本科批,金融数学,持续降温,两段同向且均超置换阈值，单元同向率达标,16,+0.1248,0.0399,是,0.81,14,+0.0745,0.0454,是,0.86,+0.1993,+0.1472,+0.0922,18,18,15,-3,211:2个/+17.7% 普通公办:12个/+7.4%
物理学科类,本科批,精神医学,持续降温,两段同向且均超置换阈值，单元同向率达标,11,+0.0744,0.0493,是,0.73,11,+0.0958,0.0519,是,0.73,+0.1702,+0.0968,+0.1136,12,12,12,+0,普通公办:11个/+9.6%
物理学科类,本科批,眼视光医学,持续降温,两段同向且均超置换阈值，单元同向率达标,9,+0.1020,0.0541,是,0.89,8,+0.0670,0.0628,是,0.75,+0.1690,+0.1244,+0.0848,11,9,8,-3,211:1个/+15.1% 普通公办:6个/+6.7% 民办:1个/+2.7%
物理学科类,本科批,物理学,持续降温,两段同向且均超置换阈值，单元同向率达标,20,+0.0770,0.0352,是,0.80,52,+0.0901,0.0228,是,0.73,+0.1671,+0.0994,+0.1078,59,63,76,+17,211:10个/-0.7% 985:2个/+0.6% 双一流:3个/+7.7% 普通公办:37个/+11.1%
物理学科类,本科批,汉语国际教育,持续降温,两段同向且均超置换阈值，单元同向率达标,12,+0.0897,0.0472,是,1.00,10,+0.0676,0.0552,是,0.80,+0.1572,+0.1121,+0.0853,19,16,16,-3,211:1个/+11.4% 普通公办:3个/+5.6% 民办:6个/+6.6%
物理学科类,本科批,汉语言文学,持续降温,两段同向且均超置换阈值，单元同向率达标,19,+0.0651,0.0360,是,0.84,22,+0.0704,0.0363,是,0.82,+0.1356,+0.0875,+0.0882,31,30,29,-2,211:1个/+4.7% 普通公办:10个/+7.0% 民办:11个/+8.9%
物理学科类,本科批,风景园林,持续降温,两段同向且均超置换阈值，单元同向率达标,25,+0.0742,0.0313,是,0.88,23,+0.0502,0.0355,是,0.70,+0.1244,+0.0966,+0.0679,34,31,27,-7,211:5个/+5.0% 普通公办:13个/+6.0% 民办:5个/+1.8%
物理学科类,本科批,小学教育,持续降温,两段同向且均超置换阈值，单元同向率达标,12,+0.0719,0.0472,是,1.00,24,+0.0459,0.0347,是,0.71,+0.1178,+0.0943,+0.0636,32,32,31,-1,普通公办:17个/+9.5% 民办:7个/+2.4%
物理学科类,本科批,数学与应用数学,持续降温,两段同向且均超置换阈值，单元同向率达标,60,+0.0528,0.0199,是,0.73,116,+0.0646,0.0146,是,0.77,+0.1174,+0.0752,+0.0824,130,137,145,+15,211:21个/+7.1% 985:7个/+15.7% 双一流:2个/-0.1% 普通公办:80个/+6.5% 民办:6个/+1.6%
物理学科类,本科批,新闻学,持续降温,两段同向且均超置换阈值，单元同向率达标,14,+0.0648,0.0433,是,1.00,16,+0.0492,0.0424,是,0.75,+0.1140,+0.0872,+0.0670,21,22,18,-3,211:2个/+13.6% 普通公办:10个/+8.3% 民办:4个/+3.2%
物理学科类,本科批,工程造价,持续降温,两段同向且均超置换阈值，单元同向率达标,54,+0.0660,0.0210,是,0.89,39,+0.0440,0.0264,是,0.62,+0.1100,+0.0884,+0.0617,63,58,42,-21,普通公办:17个/+3.2% 民办:22个/+4.4%
物理学科类,本科批,英语,持续降温,两段同向且均超置换阈值，单元同向率达标,79,+0.0507,0.0172,是,0.82,84,+0.0549,0.0175,是,0.74,+0.1057,+0.0731,+0.0727,118,103,102,-16,211:8个/+5.3% 985:1个/+43.1% 双一流:1个/-38.3% 普通公办:45个/+8.2% 民办:29个/+1.5%
物理学科类,本科批,药学,持续降温,两段同向且均超置换阈值，单元同向率达标,87,+0.0408,0.0165,是,0.82,103,+0.0490,0.0155,是,0.79,+0.0898,+0.0632,+0.0667,96,110,119,+23,211:6个/-1.9% 985:3个/-3.1% 双一流:2个/+6.4% 普通公办:78个/+6.7% 民办:14个/+0.6%
物理学科类,本科批,经济学,持续降温,两段同向且均超置换阈值，单元同向率达标,62,+0.0511,0.0196,是,0.79,57,+0.0374,0.0217,是,0.67,+0.0885,+0.0735,+0.0551,73,86,75,+2,211:10个/+0.8% 985:4个/-1.6% 普通公办:38个/+4.9% 民办:5个/+1.2%
物理学科类,本科批,统计学,持续降温,两段同向且均超置换阈值，单元同向率达标,33,+0.0388,0.0271,是,0.82,34,+0.0449,0.0283,是,0.76,+0.0837,+0.0612,+0.0627,35,40,41,+6,211:6个/-0.8% 985:1个/+4.6% 双一流:1个/+5.8% 普通公办:26个/+4.5%
物理学科类,本科批,护理学,持续降温,两段同向且均超置换阈值，单元同向率达标,88,+0.0423,0.0164,是,0.77,98,+0.0403,0.0160,是,0.77,+0.0826,+0.0647,+0.0581,98,112,110,+12,211:5个/+1.8% 985:2个/-6.5% 双一流:1个/-2.0% 普通公办:60个/+7.0% 民办:30个/+2.8%
物理学科类,本科批,医学检验技术,持续降温,两段同向且均超置换阈值，单元同向率达标,43,+0.0408,0.0236,是,0.79,47,+0.0351,0.0240,是,0.77,+0.0758,+0.0632,+0.0528,47,51,53,+6,双一流:1个/+11.0% 普通公办:34个/+4.3% 民办:12个/+1.8%
物理学科类,本科批,人力资源管理,持续降温,两段同向且均超置换阈值，单元同向率达标,47,+0.0478,0.0226,是,0.74,47,+0.0243,0.0240,是,0.77,+0.0721,+0.0702,+0.0421,71,62,58,-13,211:6个/-0.4% 985:2个/+8.2% 普通公办:22个/+2.1% 民办:17个/+3.9%
物理学科类,本科批,法学,持续降温,两段同向且均超置换阈值，单元同向率达标,78,+0.0261,0.0173,是,0.63,76,+0.0366,0.0185,是,0.70,+0.0627,+0.0485,+0.0544,98,95,93,-5,211:15个/+5.4% 985:4个/+9.6% 普通公办:47个/+5.2% 民办:10个/-1.2%
物理学科类,本科批,经济统计学,持续降温,两段同向且均超置换阈值，单元同向率达标,32,+0.0298,0.0275,是,0.72,37,+0.0286,0.0270,是,0.62,+0.0585,+0.0522,+0.0464,34,40,45,+11,211:5个/+0.5% 985:1个/+12.0% 普通公办:25个/+3.2% 民办:6个/+2.5%
物理学科类,本科批,会计学,持续降温,两段同向且均超置换阈值，单元同向率达标,143,+0.0197,0.0127,是,0.71,137,+0.0356,0.0136,是,0.79,+0.0553,+0.0421,+0.0533,164,165,165,+1,211:15个/+4.2% 985:3个/+0.3% 双一流:1个/+8.5% 普通公办:77个/+4.3% 民办:41个/+2.3%
物理学科类,本科批,工商管理,持续降温,两段同向且均超置换阈值，单元同向率达标,65,+0.0209,0.0191,是,0.66,56,+0.0341,0.0219,是,0.70,+0.0550,+0.0433,+0.0518,107,91,73,-34,211:6个/+6.3% 985:3个/+10.7% 双一流:1个/+12.8% 普通公办:35个/+3.4% 民办:11个/-0.5%
物理学科类,本科批,大数据管理与应用,持续降温,两段同向且均超置换阈值，单元同向率达标,52,+0.0243,0.0214,是,0.77,60,+0.0275,0.0211,是,0.72,+0.0517,+0.0467,+0.0452,66,76,88,+22,211:8个/+2.8% 985:6个/+20.3% 双一流:1个/+9.2% 普通公办:28个/+1.4% 民办:17个/+3.4%
物理学科类,本科批,信息与计算科学,持续降温,两段同向且均超置换阈值，单元同向率达标,80,+0.0309,0.0171,是,0.69,76,+0.0200,0.0185,是,0.61,+0.0509,+0.0533,+0.0377,103,100,96,-7,211:14个/+0.5% 985:16个/+14.1% 双一流:3个/+7.5% 普通公办:42个/+1.2% 民办:1个/+2.4%
物理学科类,本科批,金融学,持续降温,两段同向且均超置换阈值，单元同向率达标,94,+0.0321,0.0159,是,0.72,86,+0.0187,0.0173,是,0.62,+0.0508,+0.0545,+0.0365,114,119,112,-2,211:11个/-1.8% 985:1个/+2.7% 普通公办:50个/+2.9% 民办:24个/+1.3%
物理学科类,本科批,软件工程,持续降温,两段同向且均超置换阈值，单元同向率达标,136,+0.0162,0.0131,是,0.65,146,+0.0193,0.0132,是,0.68,+0.0355,+0.0386,+0.0370,165,176,184,+19,211:14个/+1.1% 985:9个/+3.7% 双一流:5个/+5.9% 普通公办:74个/+1.7% 民办:44个/+1.9%
物理学科类,专科批,飞机电子设备维修,持续升温,两段同向且均超置换阈值，单元同向率达标,5,-0.0496,0.0415,是,1.00,5,-0.0747,0.0429,是,1.00,-0.1243,-0.0755,-0.0695,6,6,6,+0,普通公办:4个/-5.0% 民办:1个/-9.1%
物理学科类,专科批,机械设计与制造,持续升温,两段同向且均超置换阈值，单元同向率达标,12,-0.0354,0.0250,是,0.67,13,-0.0276,0.0254,是,0.69,-0.0630,-0.0613,-0.0224,13,18,14,+1,普通公办:13个/-2.8%
物理学科类,专科批,飞机机电设备维修,持续升温,两段同向且均超置换阈值，单元同向率达标,17,-0.0250,0.0215,是,0.76,20,-0.0292,0.0207,是,0.70,-0.0541,-0.0509,-0.0240,19,23,23,+4,普通公办:16个/-3.7% 民办:4个/+0.9%
物理学科类,专科批,工业机器人技术,持续升温,两段同向且均超置换阈值，单元同向率达标,29,-0.0205,0.0173,是,0.76,33,-0.0196,0.0160,是,0.88,-0.0401,-0.0464,-0.0144,39,42,46,+7,普通公办:28个/-1.9% 民办:5个/-2.0%
物理学科类,专科批,电气自动化技术,持续升温,两段同向且均超置换阈值，单元同向率达标,64,-0.0173,0.0118,是,0.70,70,-0.0157,0.0111,是,0.76,-0.0329,-0.0432,-0.0105,72,82,88,+16,普通公办:57个/-1.7% 民办:13个/-0.1%
物理学科类,本科批,边防军人子女预科班,持续升温,两段同向且均超置换阈值，单元同向率达标,6,-0.1784,0.0698,是,1.00,8,-0.1018,0.0628,是,0.75,-0.2802,-0.1560,-0.0841,6,8,8,+2,985:1个/-23.9% 普通公办:7个/-7.8%
物理学科类,本科批,核工程与核技术,持续升温,两段同向且均超置换阈值，单元同向率达标,8,-0.0939,0.0570,是,1.00,10,-0.0671,0.0552,是,0.80,-0.1610,-0.0715,-0.0494,10,13,16,+6,211:1个/-2.3% 985:1个/+0.9% 普通公办:7个/-9.1% 民办:1个/+0.7%
物理学科类,本科批,石油工程,持续升温,两段同向且均超置换阈值，单元同向率达标,18,-0.0793,0.0370,是,1.00,19,-0.0655,0.0388,是,1.00,-0.1448,-0.0569,-0.0478,20,22,27,+7,双一流:2个/-4.5% 普通公办:17个/-7.0%
物理学科类,本科批,油气储运工程,持续升温,两段同向且均超置换阈值，单元同向率达标,21,-0.0713,0.0343,是,0.95,20,-0.0626,0.0379,是,0.75,-0.1339,-0.0489,-0.0449,24,24,24,+0,双一流:1个/-6.7% 普通公办:18个/-6.8% 民办:1个/+0.6%
物理学科类,本科批,农业机械化及其自动化,持续升温,两段同向且均超置换阈值，单元同向率达标,11,-0.0620,0.0493,是,0.91,12,-0.0692,0.0489,是,0.83,-0.1312,-0.0396,-0.0515,12,13,12,+0,211:5个/-13.8% 985:1个/-6.9% 普通公办:6个/-5.3%
物理学科类,本科批,测控技术与仪器,持续升温,两段同向且均超置换阈值，单元同向率达标,60,-0.0635,0.0199,是,0.92,59,-0.0614,0.0213,是,0.93,-0.1249,-0.0411,-0.0437,68,70,70,+2,211:9个/-3.5% 985:1个/-6.2% 双一流:2个/-5.3% 普通公办:44个/-6.8% 民办:3个/+1.1%
物理学科类,本科批,过程装备与控制工程,持续升温,两段同向且均超置换阈值，单元同向率达标,34,-0.0593,0.0266,是,0.88,31,-0.0604,0.0300,是,0.94,-0.1197,-0.0369,-0.0426,41,40,39,-2,211:4个/-8.9% 普通公办:27个/-5.3%
物理学科类,本科批,高分子材料与工程,持续升温,两段同向且均超置换阈值，单元同向率达标,46,-0.0483,0.0228,是,0.80,49,-0.0558,0.0235,是,0.88,-0.1041,-0.0259,-0.0380,68,58,65,-3,211:10个/-6.3% 985:4个/+1.0% 普通公办:35个/-5.7%
物理学科类,本科批,机械电子工程,持续升温,两段同向且均超置换阈值，单元同向率达标,61,-0.0489,0.0197,是,0.89,65,-0.0399,0.0202,是,0.83,-0.0889,-0.0265,-0.0222,69,71,82,+13,211:5个/+0.0% 双一流:2个/-3.6% 普通公办:44个/-5.6% 民办:14个/-0.8%
物理学科类,本科批,无机非金属材料工程,持续升温,两段同向且均超置换阈值，单元同向率达标,28,-0.0336,0.0296,是,0.86,25,-0.0542,0.0340,是,0.88,-0.0878,-0.0112,-0.0365,40,33,32,-8,211:4个/-5.2% 985:1个/-9.1% 双一流:1个/-2.5% 普通公办:19个/-5.4%
物理学科类,本科批,化学工程与工艺,持续升温,两段同向且均超置换阈值，单元同向率达标,82,-0.0516,0.0169,是,0.88,96,-0.0324,0.0162,是,0.78,-0.0840,-0.0292,-0.0147,107,116,142,+35,211:11个/-3.0% 985:1个/-0.1% 双一流:4个/-0.9% 普通公办:74个/-4.4% 民办:6个/+0.2%
物理学科类,本科批,材料成型及控制工程,持续升温,两段同向且均超置换阈值，单元同向率达标,59,-0.0475,0.0201,是,0.90,67,-0.0327,0.0199,是,0.79,-0.0802,-0.0251,-0.0150,77,75,82,+5,211:6个/-1.5% 985:1个/-0.7% 普通公办:52个/-3.9% 民办:8个/-1.3%
物理学科类,本科批,能源与动力工程,持续升温,两段同向且均超置换阈值，单元同向率达标,68,-0.0345,0.0186,是,0.82,68,-0.0435,0.0197,是,0.85,-0.0780,-0.0121,-0.0257,78,79,82,+4,211:9个/-2.7% 985:5个/-0.9% 双一流:2个/-3.6% 普通公办:47个/-6.2% 民办:5个/-2.2%
物理学科类,本科批,机械工程,持续升温,两段同向且均超置换阈值，单元同向率达标,47,-0.0443,0.0226,是,0.87,46,-0.0328,0.0243,是,0.85,-0.0770,-0.0219,-0.0150,56,54,60,+4,211:7个/-2.6% 985:3个/-2.4% 双一流:2个/-6.6% 普通公办:26个/-5.0% 民办:8个/-1.6%
物理学科类,本科批,材料科学与工程,持续升温,两段同向且均超置换阈值，单元同向率达标,52,-0.0403,0.0214,是,0.73,61,-0.0353,0.0209,是,0.82,-0.0756,-0.0179,-0.0176,60,68,81,+21,211:13个/-3.3% 985:2个/-5.5% 双一流:4个/-4.9% 普通公办:39个/-4.0% 民办:3个/+2.1%
物理学科类,本科批,车辆工程,持续升温,两段同向且均超置换阈值，单元同向率达标,67,-0.0302,0.0188,是,0.82,60,-0.0444,0.0211,是,0.82,-0.0746,-0.0078,-0.0267,75,77,76,+1,211:8个/-5.7% 985:2个/-19.2% 普通公办:39个/-5.0% 民办:11个/+2.1%
物理学科类,本科批,机械设计制造及其自动化,持续升温,两段同向且均超置换阈值，单元同向率达标,215,-0.0397,0.0109,是,0.84,205,-0.0318,0.0110,是,0.78,-0.0715,-0.0173,-0.0141,259,265,272,+13,211:18个/-2.6% 985:4个/-2.2% 双一流:2个/-2.1% 普通公办:131个/-5.4% 民办:50个/-0.4%
物理学科类,本科批,新能源材料与器件,持续升温,两段同向且均超置换阈值，单元同向率达标,32,-0.0393,0.0275,是,0.84,32,-0.0307,0.0294,是,0.81,-0.0700,-0.0169,-0.0130,39,41,52,+13,211:3个/-9.0% 985:1个/+0.3% 双一流:1个/-1.4% 普通公办:27个/-3.2%
物理学科类,本科批,新能源科学与工程,持续升温,两段同向且均超置换阈值，单元同向率达标,47,-0.0266,0.0226,是,0.77,51,-0.0379,0.0230,是,0.80,-0.0645,-0.0042,-0.0202,53,58,74,+21,211:6个/-3.1% 985:3个/+1.8% 普通公办:35个/-5.2% 民办:7个/-0.6%
物理学科类,本科批,应用化学,持续升温,两段同向且均超置换阈值，单元同向率达标,83,-0.0326,0.0168,是,0.63,91,-0.0297,0.0167,是,0.75,-0.0622,-0.0102,-0.0119,98,105,108,+10,211:15个/-3.0% 985:5个/-0.2% 双一流:3个/-1.8% 普通公办:66个/-3.0% 民办:2个/+1.8%
物理学科类,本科批,智能制造工程,持续升温,两段同向且均超置换阈值，单元同向率达标,82,-0.0276,0.0169,是,0.76,89,-0.0342,0.0169,是,0.76,-0.0617,-0.0052,-0.0164,92,102,128,+36,211:7个/-2.5% 985:6个/-5.6% 双一流:2个/-1.8% 普通公办:55个/-5.3% 民办:19个/+1.8%
物理学科类,本科批,自动化,持续升温,两段同向且均超置换阈值，单元同向率达标,156,-0.0317,0.0120,是,0.78,167,-0.0276,0.0124,是,0.75,-0.0592,-0.0093,-0.0098,167,181,199,+32,211:12个/-2.9% 985:5个/-0.0% 双一流:4个/-4.4% 普通公办:105个/-4.9% 民办:41个/+0.1%
物理学科类,本科批,机器人工程,持续升温,两段同向且均超置换阈值，单元同向率达标,69,-0.0254,0.0185,是,0.72,74,-0.0284,0.0187,是,0.70,-0.0538,-0.0030,-0.0107,80,81,112,+32,211:9个/+0.2% 985:4个/+2.5% 普通公办:34个/-4.0% 民办:27个/-1.5%
物理学科类,本科批,电气工程及其自动化,持续升温,两段同向且均超置换阈值，单元同向率达标,222,-0.0258,0.0108,是,0.72,223,-0.0217,0.0104,是,0.70,-0.0474,-0.0034,-0.0039,256,263,272,+16,211:23个/-0.3% 985:11个/+1.8% 双一流:4个/+0.7% 普通公办:132个/-3.5% 民办:53个/-0.9%
物理学科类,本科批,预防医学,趋势（内部分化）,两段同向且显著，但单元同向率偏低，由部分院校拉动,44,+0.0236,0.0234,是,0.59,45,+0.0719,0.0245,是,0.84,+0.0955,+0.0460,+0.0896,49,51,52,+3,211:7个/+8.5% 985:1个/-5.8% 双一流:1个/+11.4% 普通公办:33个/+7.8% 民办:3个/+1.5%
历史学科类,专科批,民航空中安全保卫,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,5,+0.0579,0.1142,否,0.80,5,+0.0993,0.0827,是,0.60,+0.1571,+0.0347,+0.0165,8,7,7,-1,普通公办:2个/-2.2% 民办:3个/+12.2%
历史学科类,专科批,临床医学,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,8,+0.0746,0.0805,否,0.62,11,+0.0556,0.0524,是,0.91,+0.1302,+0.0515,-0.0272,10,11,14,+4,普通公办:6个/+4.5% 民办:5个/+6.3%
历史学科类,专科批,高速铁路客运服务,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,9,+0.0650,0.0756,否,0.56,9,+0.0651,0.0580,是,0.78,+0.1301,+0.0419,-0.0177,13,11,13,+0,普通公办:3个/+0.5% 民办:6个/+7.6%
历史学科类,专科批,口腔医学,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,15,+0.0559,0.0574,否,0.80,19,+0.0655,0.0402,是,0.84,+0.1213,+0.0328,-0.0173,16,20,21,+5,普通公办:13个/+5.9% 民办:6个/+16.8%
历史学科类,专科批,建筑室内设计,单年跳变,仅 2024→2025 显著，另一段落在噪声带内,12,+0.0684,0.0634,是,0.92,10,+0.0434,0.0551,否,0.80,+0.1118,+0.0453,-0.0394,16,15,13,-3,普通公办:6个/+4.7% 民办:4个/+0.4%
历史学科类,专科批,康复治疗技术,单年跳变,仅 2024→2025 显著，另一段落在噪声带内,15,-0.0790,0.0574,是,0.87,20,-0.0127,0.0393,否,0.55,-0.0916,-0.1021,-0.0955,19,26,34,+15,普通公办:17个/-2.2% 民办:3个/+12.2%
历史学科类,专科批,无人机应用技术,单年跳变,仅 2024→2025 显著，另一段落在噪声带内,9,-0.1115,0.0756,是,0.89,16,+0.0217,0.0437,否,0.81,-0.0897,-0.1346,-0.0611,13,20,37,+24,普通公办:11个/+1.8% 民办:5个/+3.2%
历史学科类,专科批,金融服务与管理,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,6,-0.0019,0.1012,否,0.50,10,-0.0846,0.0551,是,0.80,-0.0865,-0.0250,-0.1674,12,12,11,-1,普通公办:8个/-11.6% 民办:2个/+2.5%
历史学科类,专科批,空中乘务,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,26,+0.0342,0.0430,否,0.65,33,+0.0432,0.0298,是,0.76,+0.0774,+0.0110,-0.0396,38,38,43,+5,普通公办:16个/+3.6% 民办:17个/+5.2%
历史学科类,专科批,酒店管理与数字化运营,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,9,-0.0253,0.0756,否,0.56,16,-0.0516,0.0437,是,0.69,-0.0770,-0.0485,-0.1344,14,26,26,+12,普通公办:12个/-5.8% 民办:4个/+1.1%
历史学科类,专科批,工程造价,单年跳变,仅 2024→2025 显著，另一段落在噪声带内,24,+0.0874,0.0449,是,0.79,19,-0.0130,0.0402,否,0.53,+0.0744,+0.0643,-0.0958,31,29,25,-6,普通公办:18个/-1.8% 民办:1个/+1.2%
历史学科类,专科批,跨境电子商务,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,12,-0.0037,0.0634,否,0.50,14,-0.0510,0.0466,是,0.86,-0.0547,-0.0268,-0.1338,18,19,19,+1,普通公办:12个/-6.6% 民办:2个/-0.9%
历史学科类,专科批,护理,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,64,+0.0068,0.0267,否,0.52,74,+0.0324,0.0185,是,0.65,+0.0392,-0.0163,-0.0504,78,93,90,+12,普通公办:41个/-0.1% 民办:33个/+10.9%
历史学科类,专科批,大数据与会计,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,80,-0.0170,0.0241,否,0.54,85,-0.0220,0.0173,是,0.65,-0.0390,-0.0401,-0.1048,99,101,112,+13,普通公办:67个/-3.6% 民办:18个/+5.5%
历史学科类,专科批,新能源汽车技术,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,17,-0.0142,0.0541,否,0.53,25,+0.0392,0.0354,是,0.64,+0.0250,-0.0373,-0.0436,23,28,39,+16,普通公办:20个/+3.1% 民办:5个/+7.9%
历史学科类,专科批,现代物流管理,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,25,+0.0143,0.0438,否,0.60,31,-0.0321,0.0311,是,0.65,-0.0178,-0.0088,-0.1149,34,40,38,+4,普通公办:30个/-3.4% 民办:1个/+6.1%
历史学科类,专科批,铁道交通运营管理,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,10,-0.0507,0.0711,否,0.90,9,+0.0598,0.0580,是,1.00,+0.0091,-0.0738,-0.0230,12,11,10,-2,普通公办:9个/+6.0%
历史学科类,本科批,哲学,单年跳变,仅 2024→2025 显著，另一段落在噪声带内,12,+0.1169,0.0563,是,0.75,12,+0.0600,0.0735,否,0.75,+0.1769,+0.1488,+0.0829,14,14,13,-1,211:6个/+8.7% 985:2个/-6.8% 双一流:1个/+1.3% 普通公办:3个/+11.8%
历史学科类,本科批,朝鲜语,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,17,-0.0330,0.0471,否,0.71,15,-0.0767,0.0655,是,0.73,-0.1096,-0.0011,-0.0538,32,24,20,-12,211:1个/-1.1% 普通公办:10个/-6.7% 民办:4个/-13.8%
历史学科类,本科批,西班牙语,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,12,-0.0127,0.0563,否,0.58,10,-0.0927,0.0812,是,0.80,-0.1054,+0.0191,-0.0698,22,18,18,-4,普通公办:7个/-1.8% 民办:3个/-16.4%
历史学科类,本科批,政治学与行政学,单年跳变,仅 2024→2025 显著，另一段落在噪声带内,12,+0.0606,0.0563,是,0.83,15,+0.0404,0.0655,否,0.67,+0.1009,+0.0924,+0.0632,20,19,19,-1,211:3个/+7.3% 985:3个/+17.7% 普通公办:9个/+1.6%
历史学科类,本科批,护理学,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,22,+0.0041,0.0420,否,0.50,19,+0.0892,0.0575,是,0.74,+0.0933,+0.0360,+0.1120,37,25,20,-17,211:1个/-1.0% 普通公办:13个/+10.8% 民办:5个/+5.4%
历史学科类,本科批,思想政治教育,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,20,+0.0403,0.0437,否,0.65,46,+0.0523,0.0368,是,0.67,+0.0927,+0.0722,+0.0752,58,59,55,-3,211:4个/+9.0% 985:1个/+12.4% 双一流:1个/-1.6% 普通公办:38个/+3.5% 民办:2个/-7.3%
历史学科类,本科批,审计学,单年跳变,仅 2025→2026 显著，另一段落在噪声带内,34,-0.0258,0.0324,否,0.59,33,-0.0562,0.0439,是,0.67,-0.0820,+0.0061,-0.0334,43,39,40,-3,普通公办:16个/+6.8% 民办:17个/-8.2%
